0	62	168
38	62	166
56	66	160
72	76	154
89	87	145
106	101	140
123	113	138
140	123	138
158	126	138
184	130	138
196	131	140
213	132	149
230	132	168
252	131	195
263	123	225
285	113	251
297	103	279
314	89	305
331	81	322
353	73	340
364	68	347
382	65	352
399	64	355
417	64	357
434	63	357
457	63	355
473	63	351
490	63	345
507	71	326
524	81	299
540	94	266
557	110	229
575	119	211
593	129	193
609	137	183
625	145	177
642	155	172
659	165	168
677	174	166
694	183	165
712	189	165
737	193	165
749	196	166
765	197	171
783	199	178
805	199	192
816	199	206
835	199	222
850	194	237
869	187	247
884	180	255
906	171	261
934	161	266
950	150	271
970	134	275
986	129	275
1007	127	272
1040	126	264
1056	126	259
1073	126	255
1090	127	252
1108	129	251
1126	130	251
1142	132	251
1160	133	251
1177	135	251
1193	137	253
1210	139	257
1228	141	261
1244	143	266
1261	146	273
1278	149	286
1295	151	294
1312	154	307
1329	156	315
1345	159	323
1362	161	330
1379	162	334
1396	163	337
1414	166	339
1430	167	340
1447	169	340
1465	173	340
1482	178	338
1500	190	326
1525	206	304
1536	221	278
1553	231	260
1575	237	249
1587	244	241
1604	246	238
1691	246	239
1707	246	242
1724	243	247
1741	239	258
1760	236	269
1776	233	281
1794	230	296
1810	229	304
1828	228	309
1845	228	312
1864	228	314
1881	228	315
1922	229	315
1946	229	315
1965	232	314
1980	238	309
1997	246	301
2015	263	280
2031	275	267
2048	288	255
2065	296	249
2082	304	245
2099	309	243
2115	313	243
2132	315	243
2149	316	244
2166	318	249
2182	319	264
2199	319	272
2216	319	285
2233	319	293
2250	319	302
2268	319	307
2291	315	316
2310	312	321
2325	310	326
2346	308	329
2388	308	328
2404	308	322
2422	310	316
2438	314	309
2456	318	303
2473	325	297
2491	334	288
2508	337	286
2525	341	284
2542	343	284
2560	345	284
2577	347	284
2595	349	284
2612	350	288
2631	351	299
2646	351	307
2663	351	316
2681	353	325
2698	353	330
2717	354	335
2735	354	336
2752	355	337
2767	356	338
2785	358	338
2801	362	338
2819	369	337
2837	378	329
2853	386	319
2870	397	308
2887	401	300
2904	405	292
2921	408	282
2938	409	275
2954	409	271
2972	409	263
2988	407	256
3006	402	252
3022	395	246
3040	385	241
3056	376	235
3074	365	230
3092	354	225
3108	341	221
3126	326	216
3143	306	209
3160	288	202
3178	269	196
3195	254	190
3212	245	187
3230	239	184
3252	236	183
3279	235	182
3310	234	182
3406	234	183
3423	237	183
3440	239	185
3457	242	186
3474	247	190
3490	252	195
3508	258	200
3526	264	203
3544	268	207
3560	272	209
3578	273	210
3595	274	211
3613	275	212
3631	276	212
3710	276	211
3727	277	209
3744	277	206
3761	277	204
3778	277	201
3797	278	196
3812	278	192
3829	280	185
3847	281	182
3871	282	179
3899	282	178
3921	282	177
3974	281	177
3992	280	177
4008	277	177
4025	274	179
4042	272	181
4058	267	186
4075	261	190
4092	252	195
4109	246	200
4127	239	204
4143	235	207
4160	232	208
4177	232	209
4194	232	210
4248	232	211
4304	233	211
4328	233	211
4345	236	211
4363	241	210
4379	248	208
4396	259	208
4414	266	207
4431	275	206
4448	282	206
4466	285	205
4482	286	205
4500	287	205
4576	287	204
