0	148	128
6	151	128
23	163	128
39	176	126
57	192	123
74	210	119
91	227	111
110	237	108
130	245	104
145	248	103
161	249	102
178	250	102
311	249	104
330	244	112
346	235	127
364	226	140
379	214	159
396	202	180
412	195	193
429	188	201
447	184	209
464	182	213
481	181	214
498	181	215
633	183	214
649	190	209
666	202	204
683	215	196
700	226	192
718	236	189
735	248	189
752	255	189
769	263	189
786	270	191
803	276	196
820	281	201
837	286	206
854	289	212
872	291	221
890	293	227
905	293	238
922	293	249
939	293	257
957	290	266
974	286	275
995	278	287
1008	272	295
1025	264	304
1046	256	311
1060	248	317
1076	241	321
1093	233	324
1111	225	326
1130	215	326
1146	206	326
1163	198	323
1180	192	320
1197	185	314
1216	181	309
1232	178	302
1250	177	297
1266	176	291
1284	176	283
1300	177	274
1318	180	267
1335	185	261
1352	189	258
1369	193	256
1386	198	255
1402	203	255
1419	210	255
1436	216	255
1453	222	255
1470	227	257
1486	232	259
1503	235	262
1520	239	265
1537	242	267
1555	243	271
1572	246	273
1588	247	275
1605	248	277
1623	249	278
1641	249	279
1657	249	280
1674	250	280
1692	250	283
1708	251	286
1726	251	289
1743	251	291
1760	253	292
1794	253	293
1819	253	294
1837	253	295
1858	253	296
1876	253	297
1893	254	298
1911	254	299
1928	254	300
1952	254	301
